city_fips,cbsa_fips,City,State,st_fips,pop_2010,Population,lon,lat,Name,id
4263624,39740,Reading,Pennsylvania,42,88082,430449,-75.92667955,40.33999517,"Reading, Pennsylvania",126
2938000,28140,Kansas City,Missouri,29,459787,2209494,-94.55388536,39.12334135,"Kansas City, Missouri",127
5486452,48540,Wheeling,West Virginia,54,28486,136708,-80.6950631,40.07511965,"Wheeling, West Virginia",128
2641420,27100,Jackson,Michigan,26,33534,160066,-84.40374683,42.24311703,"Jackson, Michigan",129
1514650,25900,Hilo,Hawaii,15,43263,206315,-155.0863881,19.68857439,"Hilo, Hawaii",130
5455756,34060,Morgantown,West Virginia,54,29660,141041,-79.94680374,39.63794133,"Morgantown, West Virginia",131
2646000,29620,Lansing,Michigan,26,114297,540870,-84.56008856,42.71418396,"Lansing, Michigan",132
2874840,46180,Tupelo,Mississippi,28,34546,163043,-88.73183099,34.26912528,"Tupelo, Mississippi",133
2302795,12620,Bangor,Maine,23,33039,153704,-68.79061161,44.83223877,"Bangor, Maine",134
3676540,46540,Utica,New York,36,62235,288668,-75.22604588,43.09609318,"Utica, New York",135
2656320,34740,Muskegon,Michigan,26,38401,176565,-86.25624197,43.22813519,"Muskegon, Michigan",136
2404000,12580,Baltimore,Maryland,24,620961,2835672,-76.6144219,39.30504454,"Baltimore, Maryland",137
2567000,44140,Springfield,Massachusetts,25,153060,694523,-72.53953417,42.11549175,"Springfield, Massachusetts",138
3673000,45060,Syracuse,New York,36,145170,653633,-76.14378724,43.04088788,"Syracuse, New York",139
3474000,45940,Trenton,New Jersey,34,84913,380688,-74.76405894,40.22364018,"Trenton, New Jersey",140
3986548,49300,Wooster,Ohio,39,26119,116559,-81.933384,40.81657681,"Wooster, Ohio",141
669196,42200,Santa Maria,California,6,99553,443837,-120.4431676,34.9333182,"Santa Maria, California",142
3611000,15380,Buffalo,New York,36,261310,1161192,-78.84872743,42.90162028,"Buffalo, New York",143
669112,42100,Santa Cruz,California,6,59946,264370,-122.0345802,36.97887721,"Santa Cruz, California",144
1321380,19140,Dalton,Georgia,13,33128,143604,-84.97120059,34.76906209,"Dalton, Georgia",145
3678608,48060,Watertown,New York,36,27023,116637,-75.90947021,43.97337334,"Watertown, New York",146
4159000,38900,Portland,Oregon,41,583776,2509489,-122.6499622,45.53711383,"Portland, Oregon",147
5584475,48140,Wausau,Wisconsin,55,39106,166334,-89.64568237,44.96153159,"Wausau, Wisconsin",148
5335275,28420,Kennewick,Washington,53,73917,311469,-119.1731772,46.19786643,"Kennewick, Washington",149
654652,37100,Oxnard,California,6,197899,832605,-119.1819246,34.19622774,"Oxnard, California",150
439370,29420,Lake Havasu City,Arizona,4,52527,220816,-114.3112772,34.50056071,"Lake Havasu City, Arizona",151
621782,20940,El Centro,California,6,42598,178713,-115.5586383,32.78674275,"El Centro, California",152
1616750,17660,Coeur d'Alene,Idaho,16,44137,183578,-116.7932558,47.70396001,"Coeur d'Alene, Idaho",153
2251410,33740,Monroe,Louisiana,22,48815,202869,-92.07746585,32.51829976,"Monroe, Louisiana",154
3746340,35100,New Bern,North Carolina,37,29524,122488,-77.07221372,35.09544025,"New Bern, North Carolina",155
5347560,34580,Mount Vernon,Washington,53,31743,131179,-122.3115526,48.42019596,"Mount Vernon, Washington",156
5182000,47260,Virginia Beach,Virginia,51,437994,1806840,-76.04330084,36.73322787,"Virginia Beach, Virginia",157
4260000,37980,Philadelphia,Pennsylvania,42,1526006,6241164,-75.13404727,40.00758797,"Philadelphia, Pennsylvania",158
1820728,21140,Elkhart,Indiana,18,50949,206890,-85.96200089,41.69114284,"Elkhart, Indiana",159
3638264,27460,Jamestown,New York,36,31146,126027,-79.23664839,42.09748861,"Jamestown, New York",160
4872368,45500,Texarkana,Texas,48,36411,146408,-94.08144481,33.44865643,"Texarkana, Texas",161
2240735,29180,Lafayette,Louisiana,22,120623,481125,-92.03232594,30.20838632,"Lafayette, Louisiana",162
3240000,29820,Las Vegas,Nevada,32,583756,2322985,-115.2653241,36.23322829,"Las Vegas, Nevada",163
